Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sales,Sub-Category,Quantity,Discount,Profit
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,261.96,Bookcases,2,0,41.9136
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,731.94,Chairs,3,0,219.582
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,14.62,Labels,2,0,6.8714
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,957.5775,Tables,5,0.45,-383.031
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,22.368,Storage,2,0.2,2.5164
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,48.86,Furnishings,7,0,14.1694
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,7.28,Art,4,0,1.9656
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,907.152,Phones,6,0.2,90.7152
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,18.504,Binders,3,0.2,5.7825
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,114.9,Appliances,5,0,34.47
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,1706.184,Tables,9,0.2,85.3092
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,911.424,Phones,4,0.2,68.3568
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,15.552,Paper,3,0.2,5.4432
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,407.976,Binders,3,0.2,132.5922
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,68.81,Appliances,5,0.8,-123.858
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,2.544,Binders,3,0.8,-3.816
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,665.88,Storage,6,0,13.3176
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,55.5,Storage,2,0,9.99
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,8.56,Art,2,0,2.4824
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,213.48,Phones,3,0.2,16.011
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,22.72,Binders,4,0.2,7.384
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,19.46,Art,7,0,5.0596
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,60.34,Appliances,7,0,15.6884
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,71.372,Chairs,2,0.3,-1.0196
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,1044.63,Tables,3,0,240.2649
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,11.648,Binders,2,0.2,4.2224
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,90.57,Accessories,3,0,11.7741
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,3083.43,Bookcases,7,0.5,-1665.0522
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,9.618,Binders,2,0.7,-7.0532
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,124.2,Furnishings,3,0.2,15.525
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,3.264,Envelopes,2,0.2,1.1016
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,86.304,Art,6,0.2,9.7092
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,6.858,Binders,6,0.7,-5.715
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,15.76,Art,2,0.2,3.546
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,29.472,Paper,3,0.2,9.9468
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,1097.544,Phones,7,0.2,123.4737
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,190.92,Furnishings,5,0.6,-147.963
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,113.328,Envelopes,9,0.2,35.415
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,532.3992,Bookcases,3,0.32,-46.9764
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,212.058,Chairs,3,0.3,-15.147
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,371.168,Phones,4,0.2,41.7564
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,147.168,Phones,4,0.2,16.5564
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,77.88,Storage,2,0,3.894
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,95.616,Storage,2,0.2,9.5616
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,45.98,Accessories,2,0,19.7714
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,17.46,Binders,2,0,8.2062
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,211.96,Storage,4,0,8.4784
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,45,Accessories,3,0,4.95
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,21.8,Phones,2,0,6.104
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,38.22,Binders,6,0,17.9634
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,75.18,Labels,6,0,35.3346
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,6.16,Furnishings,2,0,2.9568
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,89.99,Chairs,1,0,17.0981
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,15.26,Fasteners,7,0,6.2566
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,1029.95,Phones,5,0,298.6855
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,208.56,Storage,6,0,52.14
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,32.4,Paper,5,0,15.552
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,319.41,Chairs,5,0.1,7.098
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,14.56,Paper,2,0,6.9888
First Class,Consumer,United States,Troy,New York,12180,East,Technology,30,Accessories,2,0,3.3
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,48.48,Binders,4,0.2,16.362
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,1.68,Art,1,0,0.84
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,13.98,Accessories,2,0,6.1512
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,25.824,Binders,6,0.2,9.3612
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,146.73,Paper,3,0,68.9631
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,79.76,Furnishings,4,0,22.3328
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,213.115,Chairs,5,0.3,-15.2225
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,1113.024,Art,8,0.2,111.3024
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,167.968,Phones,4,0.2,62.988
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,75.88,Paper,2,0,35.6636
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,4.616,Binders,1,0.2,1.731
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,19.05,Paper,3,0,8.763
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,831.936,Chairs,8,0.2,-114.3912
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,97.04,Furnishings,2,0.2,1.213
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,72.784,Storage,1,0.2,-18.196
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,1.248,Binders,3,0.8,-1.9344
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,9.708,Furnishings,3,0.6,-5.8248
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,27.24,Storage,3,0.2,2.724
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,19.3,Furnishings,5,0.6,-14.475
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,208.16,Appliances,1,0,56.2032
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,16.74,Binders,3,0,8.0352
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,14.9,Art,5,0,4.172
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,21.39,Storage,1,0,6.2031
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,200.984,Envelopes,7,0.2,62.8075
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,230.376,Storage,3,0.2,-48.9549
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,301.96,Chairs,2,0,33.2156
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,19.99,Accessories,1,0,6.7966
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,6.16,Labels,2,0,2.9568
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,158.368,Storage,7,0.2,13.8572
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,20.1,Art,3,0,6.633
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,73.584,Phones,2,0.2,8.2782
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,6.48,Paper,1,0,3.1104
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,12.96,Paper,2,0,6.2208
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,53.34,Furnishings,3,0,16.5354
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,32.96,Binders,2,0,16.1504
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,5.682,Binders,1,0.7,-3.788
